# SystemVerilog DUT outputs
# Format: row,col,value
45,19,15904.000000
45,20,15153.000000
45,21,22371.000000
45,23,34991.000000
45,25,22462.000000
45,26,4759.000000
45,27,41089.000000
45,29,31496.000000
45,31,8218.000000
45,33,14201.000000
45,35,11071.000000
45,36,5099.000000
45,37,19960.000000
45,42,26486.000000
45,44,2616.000000
45,45,65532.000000
46,3,10901.000000
46,12,4625.000000
46,30,7347.000000
46,34,4267.000000
46,44,15106.000000
46,46,65534.000000
46,47,23408.000000
47,0,5000.000000
47,20,17493.000000
47,26,24782.000000
47,28,4489.000000
47,36,38861.000000
47,38,14482.000000
47,39,18364.000000
47,46,23408.000000
47,47,65535.000000
47,49,36909.000000
48,5,23658.000000
48,34,34155.000000
48,48,65536.000000
49,0,4164.000000
49,20,49615.000000
49,26,20636.000000
49,36,32360.000000
49,38,41076.000000
49,39,15292.000000
49,47,36909.000000
49,49,65535.000000
